iter	Passed	Remaining
0	358	358353
1	644	321403
2	941	312860
3	1225	305217
4	1502	298901
5	1780	294976
6	2062	292574
7	2345	290798
8	2621	288696
9	2900	287134
10	3178	285816
11	3464	285239
12	3748	284574
13	4030	283877
14	4309	282995
15	4588	282209
16	4869	281553
17	5149	280941
18	5428	280296
19	5712	279927
20	5992	279383
21	6276	279025
22	6578	279437
23	6865	279189
24	7184	280200
25	7506	281220
26	7910	285079
27	8282	287526
28	8635	289136
29	8968	289970
30	9275	289929
31	9569	289476
32	9913	290481
33	10227	290590
34	10572	291486
35	10892	291677
36	11196	291412
37	11504	291249
38	11790	290533
39	12073	289757
40	12360	289110
41	12645	288437
42	12929	287762
43	13207	286952
44	13490	286294
45	13772	285632
46	14055	284994
47	14337	284353
48	14624	283834
49	14920	283496
50	15240	283593
51	15523	283008
52	15814	282565
53	16097	282007
54	16383	281499
55	16666	280946
56	16947	280382
57	17226	279787
58	17513	279328
59	17800	278875
60	18088	278441
61	18363	277816
62	18641	277262
63	18932	276887
64	19243	276811
65	19529	276376
66	19814	275923
67	20094	275413
68	20367	274817
69	20646	274297
70	20926	273810
71	21231	273656
72	21519	273268
73	21806	272874
74	22096	272527
75	22375	272035
76	22661	271644
77	22947	271245
78	23253	271091
79	23619	271619
80	23927	271468
81	24226	271217
82	24534	271066
83	24820	270666
84	25119	270407
85	25504	271064
86	25806	270821
87	26090	270387
88	26372	269945
89	26654	269502
90	26936	269064
91	27216	268613
92	27504	268238
93	27795	267903
94	28088	267576
95	28376	267211
96	28667	266874
97	28950	266461
98	29226	265988
99	29504	265542
100	29878	265949
101	30181	265713
102	30490	265532
103	30783	265207
104	31070	264835
105	31358	264478
106	31651	264153
107	31935	263764
108	32222	263392
109	32500	262957
110	32785	262581
111	33074	262229
112	33364	261899
113	33700	261920
114	34016	261780
115	34313	261495
116	34621	261288
117	34914	260968
118	35207	260654
119	35501	260342
120	35792	260012
121	36071	259598
122	36352	259195
123	36637	258822
124	36929	258506
125	37213	258132
126	37503	257802
127	37782	257393
128	38066	257025
129	38355	256686
130	38644	256349
131	38932	256009
132	39213	255625
133	39498	255266
134	39783	254911
135	40108	254809
136	40432	254697
137	40775	254697
138	41094	254547
139	41430	254500
140	41761	254421
141	42089	254313
142	42402	254121
143	42691	253777
144	42981	253444
145	43265	253070
146	43550	252710
147	43840	252379
148	44121	251996
149	44406	251638
150	44692	251286
151	44977	250924
152	45264	250583
153	45545	250204
154	45837	249889
155	46127	249564
156	46406	249175
157	46694	248841
158	46977	248479
159	47260	248117
160	47548	247782
161	47834	247442
162	48115	247069
163	48399	246718
164	48689	246396
165	48984	246104
166	49279	245807
167	49563	245458
168	49844	245092
169	50117	244690
170	50398	244331
171	50694	244041
172	50981	243708
173	51265	243363
174	51541	242979
175	51819	242607
176	52096	242232
177	52384	241910
178	52669	241574
179	52949	241213
180	53224	240831
181	53510	240501
182	53796	240174
183	54077	239824
184	54363	239493
185	54644	239141
186	54922	238781
187	55206	238444
188	55503	238166
189	55790	237844
190	56103	237632
191	56393	237323
192	56691	237045
193	56989	236772
194	57289	236500
195	57599	236273
196	57884	235944
197	58163	235592
198	58472	235357
199	58754	235016
200	59036	234677
201	59317	234332
202	59600	233997
203	59887	233677
204	60179	233380
205	60495	233171
206	60813	232970
207	61137	232794
208	61469	232642
209	61803	232498
210	62130	232326
211	62463	232176
212	62798	232028
213	63090	231725
214	63380	231412
215	63668	231092
216	63945	230733
217	64227	230394
218	64507	230047
219	64788	229703
220	65071	229371
221	65349	229017
222	65630	228677
223	65908	228326
224	66189	227984
225	66469	227642
226	66752	227311
227	67030	226964
228	67308	226616
229	67591	226283
230	67875	225956
231	68185	225718
232	68517	225549
233	68804	225230
234	69087	224900
235	69367	224562
236	69648	224227
237	69932	223901
238	70215	223572
239	70493	223229
240	70774	222894
241	71063	222587
242	71347	222262
243	71627	221927
244	71912	221607
245	72209	221324
246	72489	220990
247	72789	220715
248	73071	220387
249	73356	220068
250	73641	219752
251	73926	219433
252	74205	219097
253	74485	218765
254	74769	218443
255	75057	218135
256	75342	217820
257	75625	217495
258	75903	217159
259	76193	216857
260	76487	216567
261	76771	216250
262	77063	215952
263	77357	215664
264	77653	215378
265	77939	215065
266	78298	214954
267	78601	214688
268	78904	214420
269	79211	214164
270	79502	213864
271	79836	213679
272	80134	213399
273	80430	213110
274	80728	212829
275	81007	212496
276	81285	212164
277	81563	211831
278	81850	211520
279	82143	211226
280	82434	210926
281	82724	210623
282	83001	210289
283	83335	210099
284	83658	209880
285	83969	209630
286	84263	209338
287	84555	209040
288	84843	208731
289	85118	208392
290	85398	208066
291	85678	207742
292	85961	207423
293	86244	207105
294	86518	206764
295	86803	206452
296	87081	206121
297	87361	205798
298	87641	205473
299	87921	205150
300	88207	204840
301	88494	204534
302	88776	204215
303	89099	203990
304	89406	203729
305	89695	203427
306	89993	203145
307	90287	202854
308	90574	202546
309	90859	202235
310	91139	201913
311	91428	201612
312	91718	201311
313	91996	200986
314	92273	200657
315	92552	200334
316	92835	200020
317	93124	199719
318	93412	199416
319	93694	199101
320	93978	198789
321	94258	198470
322	94537	198148
323	94821	197836
324	95105	197527
325	95383	197203
326	95662	196883
327	95945	196571
328	96223	196249
329	96503	195930
330	96788	195622
331	97066	195302
332	97337	194967
333	97616	194648
334	97899	194337
335	98182	194027
336	98468	193722
337	98760	193429
338	99042	193117
339	99326	192809
340	99609	192500
341	99889	192184
342	100187	191905
343	100503	191657
344	100789	191353
345	101073	191045
346	101358	190741
347	101646	190441
348	101936	190145
349	102228	189853
350	102511	189544
351	102797	189240
352	103109	188984
353	103438	188761
354	103768	188536
355	104089	188297
356	104419	188072
357	104743	187836
358	105067	187599
359	105386	187353
360	105679	187062
361	105957	186743
362	106232	186419
363	106515	186109
364	106854	185897
365	107137	185587
366	107421	185279
367	107720	184998
368	108006	184694
369	108292	184389
370	108577	184084
371	108916	183870
372	109251	183648
373	109569	183397
374	109892	183154
375	110184	182859
376	110469	182553
377	110758	182252
378	111036	181935
379	111313	181616
380	111593	181302
381	111885	181007
382	112163	180690
383	112446	180382
384	112722	180063
385	113001	179748
386	113281	179435
387	113570	179137
388	113854	178830
389	114138	178524
390	114417	178210
391	114691	177889
392	114975	177582
393	115254	177269
394	115534	176958
395	115820	176655
396	116103	176348
397	116380	176033
398	116659	175719
399	116941	175411
400	117221	175101
401	117507	174799
402	117792	174497
403	118071	174184
404	118353	173877
405	118632	173566
406	118916	173262
407	119196	172951
408	119478	172644
409	119759	172336
410	120036	172022
411	120314	171711
412	120594	171401
413	120897	171125
414	121188	170832
415	121467	170521
416	121746	170211
417	122027	169903
418	122307	169596
419	122588	169288
420	122875	168989
421	123148	168672
422	123461	168409
423	123791	168168
424	124117	167923
425	124475	167720
426	124836	167520
427	125170	167284
428	125504	167046
429	125829	166797
430	126111	166490
431	126397	166189
432	126680	165884
433	126973	165592
434	127253	165283
435	127533	164974
436	127813	164666
437	128097	164362
438	128381	164059
439	128658	163746
440	128937	163437
441	129219	163132
442	129498	162823
443	129783	162521
444	130061	162211
445	130340	161903
446	130621	161596
447	130912	161302
448	131196	161000
449	131498	160720
450	131802	160442
451	132094	160149
452	132383	159853
453	132669	159554
454	132952	159250
455	133239	158952
456	133529	158657
457	133814	158357
458	134093	158049
459	134377	157747
460	134661	157445
461	134946	157145
462	135224	156836
463	135504	156531
464	135790	156232
465	136075	155931
466	136356	155627
467	136648	155335
468	136927	155028
469	137222	154740
470	137506	154438
471	137798	154147
472	138114	153882
473	138481	153674
474	138799	153409
475	139103	153130
476	139395	152838
477	139681	152539
478	139964	152237
479	140253	151941
480	140535	151637
481	140817	151334
482	141119	151053
483	141429	150779
484	141791	150561
485	142086	150272
486	142372	149973
487	142657	149673
488	142941	149372
489	143231	149077
490	143524	148786
491	143805	148481
492	144082	148174
493	144362	147869
494	144644	147567
495	144924	147262
496	145207	146960
497	145490	146658
498	145769	146353
499	146047	146047
500	146332	145748
501	146617	145449
502	146935	145182
503	147229	144892
504	147512	144591
505	147817	144312
506	148116	144026
507	148409	143735
508	148698	143439
509	148978	143136
510	149254	142828
511	149532	142523
512	149817	142224
513	150099	141923
514	150383	141623
515	150665	141322
516	150942	141016
517	151222	140712
518	151503	140410
519	151785	140109
520	152091	139830
521	152535	139678
522	153120	139653
523	153684	139606
524	154278	139585
525	154948	139630
526	155606	139661
527	156227	139657
528	156826	139631
529	157394	139576
530	157997	139549
531	158648	139562
532	159212	139497
533	159843	139489
534	160476	139479
535	161112	139470
536	161737	139449
537	162386	139446
538	163015	139424
539	163433	139220
540	163860	139024
541	164276	138816
542	164629	138555
543	164952	138269
544	165275	137982
545	165560	137663
546	165859	137356
547	166182	137070
548	166503	136781
549	166856	136518
550	167214	136260
551	167551	135983
552	167926	135737
553	168361	135540
554	168788	135334
555	169103	135039
556	169413	134740
557	169725	134441
558	170019	134129
559	170309	133814
560	170609	133507
561	170900	133192
562	171190	132877
563	171470	132555
564	171763	132242
565	172044	131921
566	172330	131603
567	172615	131284
568	172893	130961
569	173180	130645
570	173475	130334
571	173762	130017
572	174057	129707
573	174346	129393
574	174627	129072
575	174913	128755
576	175235	128465
577	175582	128193
578	175926	127918
579	176239	127622
580	176551	127323
581	176906	127056
582	177277	126800
583	177697	126578
584	178077	126328
585	178396	126034
586	178707	125734
587	179091	125486
588	179446	125216
589	179777	124930
590	180107	124643
591	180419	124342
592	180753	124058
593	181094	123778
594	181463	123517
595	181753	123201
596	182051	122892
597	182342	122577
598	182635	122265
599	182971	121980
600	183395	121754
601	183769	121495
602	184085	121197
603	184375	120881
604	184668	120568
605	184960	120255
606	185258	119944
607	185558	119636
608	185857	119327
609	186152	119015
610	186458	118711
611	186786	118420
612	187110	118127
613	187444	117839
614	187767	117545
615	188102	117258
616	188433	116969
617	188799	116701
618	189091	116387
619	189439	116108
620	189885	115888
621	190389	115703
622	190775	115445
623	191128	115167
624	191445	114867
625	191803	114591
626	192108	114284
627	192414	113978
628	192719	113671
629	193027	113365
630	193341	113063
631	193661	112764
632	193976	112463
633	194278	112154
634	194567	111838
635	194868	111528
636	195169	111219
637	195470	110909
638	195757	110592
639	196050	110278
640	196346	109966
641	196662	109665
642	197026	109390
643	197353	109096
644	197639	108778
645	197924	108459
646	198203	108139
647	198487	107820
648	198775	107504
649	199057	107184
650	199342	106867
651	199631	106551
652	199906	106228
653	200214	105923
654	200507	105610
655	200805	105300
656	201125	105001
657	201502	104732
658	201897	104472
659	202206	104166
660	202519	103864
661	202812	103550
662	203109	103239
663	203425	102938
664	203746	102639
665	204063	102338
666	204360	102026
667	204646	101710
668	204931	101393
669	205217	101077
670	205512	100765
671	205795	100447
672	206072	100127
673	206356	99810
674	206640	99493
675	206918	99173
676	207196	98854
677	207478	98536
678	207763	98220
679	208046	97904
680	208335	97590
681	208616	97272
682	208895	96954
683	209175	96636
684	209454	96318
685	209740	96003
686	210026	95688
687	210304	95370
688	210581	95052
689	210862	94735
690	211142	94418
691	211424	94102
692	211711	93788
693	211996	93473
694	212305	93169
695	212624	92870
696	212909	92556
697	213191	92240
698	213477	91926
699	213753	91608
700	214026	91289
701	214303	90972
702	214585	90656
703	214870	90343
704	215155	90029
705	215436	89714
706	215715	89398
707	215995	89082
708	216280	88769
709	216561	88454
710	216847	88141
711	217129	87827
712	217405	87511
713	217684	87195
714	217962	86880
715	218242	86565
716	218526	86252
717	218807	85938
718	219085	85623
719	219364	85308
720	219643	84993
721	219923	84679
722	220204	84365
723	220487	84053
724	220776	83742
725	221069	83433
726	221398	83138
727	221680	82825
728	221960	82511
729	222245	82200
730	222530	81888
731	222814	81577
732	223091	81262
733	223381	80952
734	223662	80640
735	223946	80328
736	224225	80015
737	224501	79701
738	224780	79388
739	225056	79073
740	225338	78762
741	225617	78449
742	225965	78160
743	226300	77866
744	226581	77554
745	226861	77242
746	227145	76931
747	227424	76619
748	227707	76308
749	227985	75995
750	228269	75684
751	228548	75372
752	228833	75062
753	229148	74761
754	229469	74463
755	229788	74164
756	230108	73865
757	230463	73578
758	230789	73281
759	231116	72984
760	231422	72680
761	231706	72370
762	231985	72058
763	232263	71746
764	232541	71434
765	232820	71122
766	233098	70810
767	233377	70499
768	233656	70188
769	233935	69876
770	234215	69566
771	234495	69255
772	234774	68944
773	235051	68632
774	235327	68320
775	235601	68008
776	235880	67697
777	236157	67386
778	236433	67075
779	236714	66765
780	236988	66453
781	237266	66143
782	237544	65832
783	237825	65523
784	238108	65214
785	238387	64904
786	238663	64593
787	238946	64285
788	239224	63975
789	239504	63665
790	239786	63357
791	240064	63047
792	240341	62737
793	240619	62427
794	240892	62117
795	241171	61807
796	241455	61499
797	241734	61190
798	242010	60881
799	242284	60571
800	242561	60261
801	242842	59953
802	243120	59644
803	243408	59338
804	243733	59040
805	244126	58759
806	244443	58460
807	244764	58161
808	245073	57860
809	245357	57553
810	245680	57254
811	245995	56954
812	246289	56649
813	246567	56340
814	246848	56033
815	247127	55724
816	247401	55415
817	247680	55107
818	247962	54800
819	248245	54492
820	248528	54185
821	248805	53877
822	249083	53569
823	249367	53262
824	249702	52967
825	250026	52668
826	250365	52373
827	250686	52074
828	251040	51782
829	251378	51487
830	251706	51189
831	252007	50886
832	252295	50580
833	252575	50272
834	252855	49965
835	253138	49658
836	253425	49352
837	253707	49045
838	253987	48739
839	254265	48431
840	254540	48123
841	254819	47816
842	255101	47509
843	255383	47203
844	255665	46897
845	255943	46590
846	256223	46283
847	256504	45977
848	256782	45670
849	257064	45364
850	257352	45059
851	257631	44752
852	257911	44446
853	258194	44140
854	258477	43835
855	258765	43530
856	259049	43225
857	259326	42918
858	259606	42612
859	259886	42307
860	260180	42003
861	260474	41700
862	260758	41395
863	261043	41090
864	261325	40784
865	261605	40479
866	261885	40173
867	262165	39868
868	262449	39563
869	262727	39258
870	263011	38953
871	263299	38649
872	263585	38345
873	263881	38042
874	264181	37740
875	264469	37436
876	264749	37131
877	265033	36826
878	265314	36522
879	265594	36217
880	265878	35913
881	266164	35609
882	266446	35304
883	266727	35000
884	267009	34696
885	267290	34391
886	267587	34089
887	267879	33786
888	268246	33493
889	268587	33196
890	268889	32894
891	269176	32590
892	269462	32287
893	269741	31982
894	270018	31678
895	270301	31374
896	270585	31070
897	270867	30766
898	271153	30463
899	271444	30160
900	271736	29857
901	272021	29554
902	272314	29251
903	272607	28949
904	272889	28645
905	273172	28342
906	273457	28039
907	273741	27735
908	274031	27433
909	274317	27130
910	274601	26827
911	274879	26523
912	275161	26220
913	275441	25916
914	275722	25613
915	276006	25310
916	276287	25007
917	276566	24704
918	276844	24400
919	277125	24097
920	277402	23794
921	277681	23491
922	277964	23188
923	278249	22886
924	278528	22583
925	278808	22280
926	279091	21978
927	279374	21675
928	279655	21373
929	279939	21070
930	280217	20768
931	280493	20465
932	280787	20163
933	281071	19861
934	281352	19559
935	281631	19256
936	281912	18954
937	282196	18652
938	282477	18350
939	282759	18048
940	283042	17746
941	283328	17444
942	283610	17142
943	283891	16841
944	284174	16539
945	284458	16237
946	284743	15936
947	285026	15634
948	285303	15332
949	285585	15030
950	285865	14729
951	286155	14428
952	286436	14126
953	286715	13824
954	286996	13523
955	287277	13221
956	287571	12921
957	287866	12620
958	288180	12320
959	288465	12019
960	288752	11718
961	289035	11417
962	289316	11115
963	289598	10814
964	289879	10513
965	290161	10212
966	290442	9911
967	290723	9610
968	291009	9309
969	291291	9009
970	291578	8708
971	291865	8407
972	292183	8107
973	292494	7807
974	292822	7508
975	293155	7208
976	293481	6908
977	293804	6609
978	294137	6309
979	294437	6008
980	294722	5708
981	295010	5407
982	295300	5106
983	295604	4806
984	295895	4506
985	296186	4205
986	296475	3904
987	296763	3604
988	297042	3303
989	297321	3003
990	297603	2702
991	297886	2402
992	298186	2102
993	298493	1801
994	298788	1501
995	299073	1201
996	299358	900
997	299641	600
998	299924	300
999	300206	0
