iter	Passed	Remaining
0	540	539798
1	1031	514684
2	1533	509704
3	2047	509892
4	2548	507084
5	3067	508173
6	3596	510178
7	4109	509637
8	4633	510186
9	5176	512424
10	5783	519971
11	6262	515634
12	6762	513422
13	7270	512030
14	7800	512208
15	8352	513693
16	8838	511085
17	9382	511886
18	9851	508646
19	10369	508113
20	10940	510043
21	11446	508844
22	11971	508515
23	12472	507224
24	12957	505338
25	13457	504140
26	13987	504077
27	14517	503954
28	15036	503449
29	15542	502548
30	16140	504510
31	16655	503815
32	17146	502451
33	17652	501535
34	18161	500737
35	18652	499470
36	19225	500389
37	19752	500042
38	20252	499036
39	20855	500535
40	21358	499590
41	21853	498478
42	22395	498423
43	22984	499400
44	23557	499939
45	24154	500935
46	24676	500356
47	25309	501962
48	25851	501722
49	26391	501429
50	26926	501039
51	27436	500190
52	27957	499535
53	28475	498840
54	28991	498128
55	29529	497779
56	30030	496819
57	30548	496156
58	31097	495980
59	31597	495034
60	32100	494142
61	32630	493660
62	33145	492980
63	33653	492187
64	34170	491532
65	34677	490738
66	35186	489989
67	35710	489449
68	36260	489254
69	36791	488799
70	37366	488919
71	37906	488573
72	38412	487784
73	38921	487050
74	39490	487044
75	40009	486429
76	40587	486522
77	41063	485388
78	41550	484410
79	42065	483756
80	42562	482896
81	43080	482289
82	43582	481512
83	44070	480573
84	44610	480223
85	45160	479964
86	45726	479863
87	46233	479149
88	46775	478793
89	47289	478151
90	47800	477479
91	48344	477140
92	48867	476593
93	49369	475836
94	49893	475301
95	50368	474305
96	50860	473475
97	51332	472468
98	51829	471697
99	52354	471190
100	52877	470663
101	53417	470284
102	53922	469594
103	54416	468818
104	54929	468209
105	55421	467422
106	55984	467233
107	56475	466443
108	57063	466458
109	57550	465634
110	58099	465318
111	58602	464632
112	59155	464343
113	59690	463912
114	60205	463318
115	60714	462683
116	61198	461869
117	61718	461316
118	62239	460779
119	62769	460308
120	63308	459900
121	63818	459286
122	64325	458643
123	64858	458192
124	65379	457656
125	65900	457117
126	66398	456427
127	66916	455866
128	67429	455280
129	67903	454431
130	68409	453802
131	68891	453013
132	69441	452672
133	69954	452093
134	70547	452025
135	71069	451499
136	71598	451021
137	72108	450419
138	72622	449840
139	73154	449379
140	73654	448717
141	74167	448136
