iter	Passed	Remaining
0	57	57538
1	62	31342
2	71	23794
3	77	19265
4	86	17177
5	95	15752
6	103	14636
7	112	13898
8	117	12967
9	123	12216
10	129	11626
11	134	11101
12	139	10628
13	149	10527
14	158	10389
15	166	10220
16	173	10030
17	186	10150
18	191	9910
19	197	9656
20	202	9425
21	208	9271
22	213	9086
23	221	8993
24	229	8938
25	234	8779
26	242	8724
27	247	8583
28	253	8478
29	258	8357
30	263	8251
31	270	8176
32	276	8112
33	289	8216
34	294	8127
35	303	8125
36	310	8093
37	316	8003
38	321	7925
39	327	7866
40	334	7819
41	339	7750
42	345	7686
43	352	7656
44	362	7699
45	369	7672
46	378	7664
47	383	7611
48	389	7558
49	395	7523
50	401	7474
51	406	7416
52	412	7377
53	421	7383
54	428	7361
55	439	7414
56	446	7392
57	452	7355
58	458	7307
59	464	7272
60	470	7238
61	475	7200
62	487	7257
63	494	7230
64	501	7219
65	507	7183
66	513	7146
67	518	7103
68	523	7069
69	530	7050
70	537	7039
71	547	7062
72	556	7065
73	563	7056
74	573	7074
75	583	7090
76	590	7080
77	596	7048
78	601	7014
79	608	6998
80	619	7023
81	627	7023
82	633	6997
83	641	6996
84	647	6965
85	652	6938
86	658	6908
87	663	6874
88	670	6862
89	679	6872
90	687	6863
91	693	6840
92	700	6827
93	707	6819
94	713	6792
95	718	6762
96	726	6762
97	732	6743
98	737	6715
99	747	6729
100	754	6718
101	761	6707
102	767	6681
103	772	6657
104	778	6634
105	783	6606
106	789	6587
107	794	6564
108	800	6543
109	805	6517
110	814	6526
111	821	6514
112	827	6494
113	837	6506
114	842	6483
115	849	6471
116	856	6466
117	861	6441
118	867	6419
119	872	6397
120	880	6393
121	888	6394
122	896	6388
123	903	6383
124	909	6364
125	915	6349
126	920	6327
127	926	6312
128	931	6292
129	936	6270
130	944	6264
131	955	6285
132	960	6263
133	973	6294
134	979	6275
135	984	6256
136	990	6237
137	995	6220
138	1001	6202
139	1011	6212
140	1017	6200
141	1023	6183
142	1030	6174
143	1042	6199
144	1048	6184
145	1054	6169
146	1059	6148
147	1065	6132
148	1070	6115
149	1078	6113
150	1089	6124
151	1096	6116
152	1105	6121
153	1110	6101
154	1116	6086
155	1121	6067
156	1128	6058
157	1133	6041
158	1139	6027
159	1147	6023
